mês;operador;id_loja_atual;ds_subcategoria;real;resultado_modelo;resultado_ajustado
2018-01;Operador A;Loja 1;Produto B;0,023025858;0,023032192;0,023032192
2018-01;Operador A;Loja 1;Produto A;0,011814679;0,007038362;0,007038362
2018-01;Operador A;Loja 1;Produto D;0,001485539;0,01055036;0,01055036
2018-02;Operador A;Loja 1;Produto I;0,022213453;0,016556975;0,016556975
2018-02;Operador A;Loja 1;Produto H;0,038531173;0,01356756;0,01356756
2018-02;Operador A;Loja 1;Produto G;0,081495752;0,037199071;0,037199071
2018-02;Operador A;Loja 1;Produto F;0,093240797;0,07519062;0,07519062
2018-02;Operador A;Loja 1;Produto E;0,106216053;0,090214807;0,090214807
2018-02;Operador A;Loja 1;Produto D;0,003272829;0,001963694;0,001963694
2018-02;Operador A;Loja 1;Produto C;0,003829906;0;0
2018-02;Operador A;Loja 1;Produto B;0,015714219;0,011007621;0,011007621
2018-02;Operador A;Loja 1;Produto A;0,033819228;0,013118584;0,013118584
2018-03;Operador A;Loja 1;Produto H;0,064528109;0,026716795;0,026716795
2018-03;Operador A;Loja 1;Produto G;0,067499188;0,033871596;0,033871596
2018-03;Operador A;Loja 1;Produto F;0,057611067;0,033665468;0,033665468
2018-03;Operador A;Loja 1;Produto E;0,114200826;0,049084135;0,049084135
2018-03;Operador A;Loja 1;Produto I;0,025532705;0,010274333;0,010274333
2018-03;Operador A;Loja 1;Produto C;0,003945964;0;0
2018-03;Operador A;Loja 1;Produto B;0,008356158;0,003091221;0,003091221
2018-03;Operador A;Loja 1;Produto A;0,066756418;0,025820379;0,025820379
2018-03;Operador A;Loja 1;Produto D;0,006638503;0,003895535;0,003895535
2018-04;Operador A;Loja 1;Produto H;0,084049023;0,041924156;0,041924156
2018-04;Operador A;Loja 1;Produto G;0,072118286;0,02662637;0,02662637
2018-04;Operador A;Loja 1;Produto F;0,065270879;0,024449351;0,024449351
2018-04;Operador A;Loja 1;Produto E;0,128452718;0,040228354;0,040228354
2018-04;Operador A;Loja 1;Produto I;0,022933011;0,018039132;0,018039132
2018-04;Operador A;Loja 1;Produto C;0,004317348;0;0
2018-04;Operador A;Loja 1;Produto B;0,01167541;0,001358604;0,001358604
2018-04;Operador A;Loja 1;Produto A;0,058028875;0,045033105;0,045033105
2018-04;Operador A;Loja 1;Produto D;0,007102734;0,006073225;0,006073225
2018-05;Operador A;Loja 1;Produto I;0,045401792;0,035065461;0,035065461
2018-05;Operador A;Loja 1;Produto H;0,097534933;0,054029978;0,054029978
2018-05;Operador A;Loja 1;Produto G;0,067359918;0,034387975;0,034387975
2018-05;Operador A;Loja 1;Produto F;0,040759482;0,026786775;0,026786775
2018-05;Operador A;Loja 1;Produto E;0,10243257;0,045691894;0,045691894
2018-05;Operador A;Loja 1;Produto C;0,005593984;0;0
2018-05;Operador A;Loja 1;Produto B;0,006568869;0,000994029;0,000994029
2018-05;Operador A;Loja 1;Produto A;0,102478994;0,079374075;0,079374075
2018-05;Operador A;Loja 1;Produto D;0,005849311;0,007737557;0,007737557
2018-06;Operador A;Loja 1;Produto G;0,097558145;0,053483871;0,053483871
2018-06;Operador A;Loja 1;Produto I;0,036302864;0,099268684;0,099268684
2018-06;Operador A;Loja 1;Produto H;0,117241539;0,08826018;0,08826018
2018-06;Operador A;Loja 1;Produto F;0,070702382;0,037522753;0,037522753
2018-06;Operador A;Loja 1;Produto B;0,005733253;0,002099489;0,002099489
2018-06;Operador A;Loja 1;Produto D;0,01123439;0,027738701;0,027738701
2018-06;Operador A;Loja 1;Produto C;0,003528156;0;0
2018-06;Operador A;Loja 1;Produto E;0,176709531;0,087889607;0,087889607
2018-06;Operador A;Loja 1;Produto A;0,155076366;0,085400833;0,085400833
2018-07;Operador A;Loja 1;Produto I;0,048628197;0,163084313;0,163084313
2018-07;Operador A;Loja 1;Produto H;0,155169212;0,114283844;0,114283844
2018-07;Operador A;Loja 1;Produto G;0,155447751;0,067203996;0,067203996
2018-07;Operador A;Loja 1;Produto F;0,070911285;0,062728532;0,062728532
2018-07;Operador A;Loja 1;Produto E;0,237663061;0,124816856;0,124816856
2018-07;Operador A;Loja 1;Produto D;0,021958126;0,039790894;0,039790894
2018-07;Operador A;Loja 1;Produto C;0,005663618;0,001329271;0,001329271
2018-07;Operador A;Loja 1;Produto B;0,006267119;0,003492838;0,003492838
2018-07;Operador A;Loja 1;Produto A;0,118425328;0,093458929;0,093458929
2018-08;Operador A;Loja 1;Produto I;0,060419665;0,057109482;0,057109482
2018-08;Operador A;Loja 1;Produto H;0,076017826;0,069050615;0,069050615
2018-08;Operador A;Loja 1;Produto G;0,052017084;0,041094438;0,041094438
2018-08;Operador A;Loja 1;Produto F;0,034678056;0,037882364;0,037882364
2018-08;Operador A;Loja 1;Produto E;0,15528527;0,073604897;0,073604897
2018-08;Operador A;Loja 1;Produto D;0,019474491;0,017666571;0,017666571
2018-08;Operador A;Loja 1;Produto C;0,003412098;0,002606512;0,002606512
2018-08;Operador A;Loja 1;Produto B;0,016364143;0,00888491;0,00888491
2018-08;Operador A;Loja 1;Produto A;0,106889188;0,043529334;0,043529334
2018-09;Operador A;Loja 1;Produto I;0,074485864;0,019109793;0,019109793
2018-09;Operador A;Loja 1;Produto H;0,066408245;0,045164875;0,045164875
2018-09;Operador A;Loja 1;Produto G;0,053850796;0,035031185;0,035031185
2018-09;Operador A;Loja 1;Produto F;0,068079476;0,042818272;0,042818272
2018-09;Operador A;Loja 1;Produto E;0,157467156;0,086517987;0,086517987
2018-09;Operador A;Loja 1;Produto D;0,019520914;0,007320796;0,007320796
2018-09;Operador A;Loja 1;Produto C;0,006429599;0,002162739;0,002162739
2018-09;Operador A;Loja 1;Produto B;0,03549046;0,01358001;0,01358001
2018-09;Operador A;Loja 1;Produto A;0,030917785;0,015644781;0,015644781
2018-10;Operador A;Loja 1;Produto I;0,079685251;0,058032488;0,058032488
2018-10;Operador A;Loja 1;Produto H;0,069889977;0,062266825;0,062266825
2018-10;Operador A;Loja 1;Produto G;0,061348127;0,058870697;0,058870697
2018-10;Operador A;Loja 1;Produto F;0,087461121;0,091922306;0,091922306
2018-10;Operador A;Loja 1;Produto E;0,245090757;0,157903411;0,157903411
2018-10;Operador A;Loja 1;Produto D;0,036975999;0,026535548;0,026535548
2018-10;Operador A;Loja 1;Produto C;0,005083329;0,003643734;0,003643734
2018-10;Operador A;Loja 1;Produto B;0,028526995;0,018703627;0,018703627
2018-10;Operador A;Loja 1;Produto A;0,017269393;0,01933268;0,01933268
2018-11;Operador A;Loja 1;Produto I;0,074555499;0,096740161;0,096740161
2018-11;Operador A;Loja 1;Produto H;0,059630472;0,063124268;0,063124268
2018-11;Operador A;Loja 1;Produto G;0,060837473;0,073383772;0,073383772
2018-11;Operador A;Loja 1;Produto F;0,142565341;0,140868366;0,140868366
2018-11;Operador A;Loja 1;Produto E;0,304419479;0,251440973;0,251440973
2018-11;Operador A;Loja 1;Produto D;0,049835198;0,030813069;0,030813069
2018-11;Operador A;Loja 1;Produto C;0,006406388;0,008311354;0,008311354
2018-11;Operador A;Loja 1;Produto B;0,0452161;0,026876994;0,026876994
2018-11;Operador A;Loja 1;Produto A;0,029989323;0,016962013;0,016962013
2018-12;Operador A;Loja 1;Produto I;0,039691751;0,036883787;0,036883787
2018-12;Operador A;Loja 1;Produto H;0,021888492;0,017923675;0,017923675
2018-12;Operador A;Loja 1;Produto G;0,025834455;0,039858757;0,039858757
2018-12;Operador A;Loja 1;Produto F;0,192075577;0,141280041;0,141280041
2018-12;Operador A;Loja 1;Produto E;0,151919595;0,131824707;0,131824707
2018-12;Operador A;Loja 1;Produto D;0,00928462;0,008369469;0,008369469
2018-12;Operador A;Loja 1;Produto C;0,003087136;0,003399081;0,003399081
2018-12;Operador A;Loja 1;Produto B;0,020565433;0,015424939;0,015424939
2018-12;Operador A;Loja 1;Produto A;0,006615292;0,007919017;0,007919017
2019-01;Operador A;Loja 1;Produto I;0,080172694;0,069860829;0,069860829
2019-01;Operador A;Loja 1;Produto H;0,037625923;0,036960618;0,036960618
2019-01;Operador A;Loja 1;Produto G;0,073278864;0,070446529;0,070446529
2019-01;Operador A;Loja 1;Produto F;0,173924145;0,181969922;0,181969922
2019-01;Operador A;Loja 1;Produto E;0,233995636;0,178332384;0,178332384
2019-01;Operador A;Loja 1;Produto D;0,024395339;0,015866034;0,015866034
2019-01;Operador A;Loja 1;Produto C;0,005570772;0,014639749;0,014639749
2019-01;Operador A;Loja 1;Produto B;0,062230166;0,025997625;0,025997625
2019-01;Operador A;Loja 1;Produto A;0,014275103;0,011951213;0,011951213
2019-02;Operador A;Loja 1;Produto H;0,043916253;0,027141585;0,027141585
2019-02;Operador A;Loja 1;Produto G;0,050949352;0,050589897;0,050589897
2019-02;Operador A;Loja 1;Produto F;0,106030361;0,157198262;0,157198262
2019-02;Operador A;Loja 1;Produto E;0,118170001;0,128176333;0,128176333
2019-02;Operador A;Loja 1;Produto I;0,059700107;0,045072115;0,045072115
2019-02;Operador A;Loja 1;Produto C;0,012371756;0,007718377;0,007718377
2019-02;Operador A;Loja 1;Produto B;0,019753029;0,012164304;0,012164304
2019-02;Operador A;Loja 1;Produto A;0,047862216;0,024027372;0,024027372
2019-02;Operador A;Loja 1;Produto D;0,024789935;0,013086983;0,013086983
2019-03;Operador A;Loja 1;Produto I;0,065247667;0,035845391;0,035845391
2019-03;Operador A;Loja 1;Produto H;0,050717237;0,040260472;0,040260472
2019-03;Operador A;Loja 1;Produto G;0,042616406;0,042660959;0,042660959
2019-03;Operador A;Loja 1;Produto F;0,05271343;0,064760614;0,064760614
2019-03;Operador A;Loja 1;Produto E;0,097418876;0,068935738;0,068935738
2019-03;Operador A;Loja 1;Produto D;0,031080266;0,017024442;0,017024442
2019-03;Operador A;Loja 1;Produto C;0,013369853;0,006606142;0,006606142
2019-03;Operador A;Loja 1;Produto B;0,009539947;0,003951055;0,003951055
2019-03;Operador A;Loja 1;Produto A;0,057611067;0,044337952;0,044337952
2019-04;Operador A;Loja 1;Produto I;0,082331368;0,068496263;0,068496263
2019-04;Operador A;Loja 1;Produto H;0,06213732;0,055201111;0,055201111
2019-04;Operador A;Loja 1;Produto G;0,053804373;0,038012431;0,038012431
2019-04;Operador A;Loja 1;Produto F;0,041850425;0,045822343;0,045822343
2019-04;Operador A;Loja 1;Produto E;0,100134627;0,056452936;0,056452936
2019-04;Operador A;Loja 1;Produto D;0,025486282;0,020610679;0,020610679
2019-04;Operador A;Loja 1;Produto C;0,016781951;0,012238944;0,012238944
2019-04;Operador A;Loja 1;Produto B;0,004201291;0,001231525;0,001231525
2019-04;Operador A;Loja 1;Produto A;0,057912817;0,07436031;0,07436031
2019-05;Operador A;Loja 1;Produto I;0,095028086;0,073213299;0,073213299
2019-05;Operador A;Loja 1;Produto H;0,074996518;0,059285969;0,059285969
2019-05;Operador A;Loja 1;Produto G;0,062531916;0,04235426;0,04235426
2019-05;Operador A;Loja 1;Produto F;0,047955062;0,042222328;0,042222328
2019-05;Operador A;Loja 1;Produto E;0,101295204;0,053529784;0,053529784
2019-05;Operador A;Loja 1;Produto D;0,02859663;0,019792038;0,019792038
2019-05;Operador A;Loja 1;Produto C;0,019822664;0,012082325;0,012082325
